hour,day_of_week,is_weekend,is_night,amount,merchant_category,online_order,foreign_transaction,high_risk_country,distance_from_home_km,distance_from_last_txn_km,customer_age,account_age_days,avg_spend_30d,num_txns_last_24h,transaction_velocity,used_chip,used_pin,repeat_retailer,declined_attempts_before,amount_vs_avg_ratio,Class
16,3,1,1,55.5,3,0,0,1,10.54,8.98,43,87,106.72,1,0.76,1,0,1,1,0.4859,0
21,2,0,0,17.95,8,0,0,0,15.95,6.69,45,2968,29.46,2,1.99,0,1,0,0,1.0341,0
23,2,0,1,195.86,3,0,0,0,30.9,1.86,38,1403,52.87,3,2.02,1,0,1,1,0.9674,0
3,5,0,0,93.69,8,0,0,0,31.11,9.26,64,2851,193.14,7,1.83,1,1,1,1,1.4802,0
5,1,1,0,9.2,7,0,0,0,24.27,2.14,49,4411,74.1,1,0.72,1,1,0,1,0.6978,0
8,2,1,0,34.18,5,0,0,0,9.85,0.79,59,2873,24.34,4,1.37,1,1,1,0,0.7028,0
2,4,1,1,1593.38,2,0,0,0,5.69,12.83,29,2904,158.65,1,2.02,1,1,0,0,1.232,0
19,5,1,0,53.79,8,0,0,1,272.0,300.74,29,401,10.0,17,7.05,0,0,0,3,8.6843,1
3,5,1,1,17.08,5,0,0,0,26.16,9.29,58,2768,24.19,0,1.6,1,0,1,1,1.2578,0
5,5,1,0,29.32,6,0,0,0,64.01,7.9,33,2952,36.32,5,1.2,1,1,1,1,0.5474,0
7,2,1,1,260.17,6,0,0,0,3.01,4.78,29,3789,131.73,1,2.74,1,0,1,1,0.8768,0
1,4,1,0,26.84,7,0,0,0,13.9,2.06,44,3201,59.38,5,3.21,1,1,1,1,0.8551,0
3,2,1,0,8.43,7,0,0,0,2.7,6.4,25,4041,13.15,7,3.18,1,0,0,0,2.1906,0
14,3,0,0,35.52,7,0,0,0,3.23,4.64,63,4182,29.2,3,1.11,1,0,1,1,0.8299,0
7,4,0,0,53.85,1,0,0,0,27.93,1.15,24,3321,191.72,7,4.5,1,1,1,1,1.1748,0
2,3,0,0,59.0,2,1,0,0,48.21,2.5,19,1609,88.99,7,2.16,1,1,1,1,1.2109,0
14,4,0,0,11.27,4,0,0,0,5.55,13.74,72,845,40.62,5,0.11,1,1,0,1,1.1553,0
14,2,1,1,29.01,9,0,0,0,48.3,3.51,67,2937,31.84,6,0.23,1,1,1,0,1.2112,0
17,3,0,0,68.3,2,0,0,0,63.53,8.17,53,136,23.98,2,2.53,1,1,1,0,1.462,0
10,2,0,0,16.48,3,1,0,0,3.49,0.89,45,1231,51.7,3,3.84,1,0,1,1,1.7737,0
14,1,0,0,23.79,3,1,0,0,43.28,4.0,68,4807,102.44,3,3.17,1,1,0,0,0.2957,0
14,0,1,0,210.24,1,0,0,1,50.74,20.67,32,309,84.69,3,3.68,1,0,0,1,0.7483,0
15,3,0,0,32.63,2,1,0,0,5.98,3.88,47,3405,20.44,7,1.41,1,0,0,0,0.6135,0
6,6,0,0,111.91,8,1,0,0,6.25,0.26,73,1563,44.47,4,3.21,1,0,1,0,0.2938,0
5,2,1,0,8.8,5,0,0,0,24.83,12.97,48,3446,82.99,6,2.24,1,1,0,0,1.195,0
21,5,1,0,87.9,2,0,0,0,41.44,6.79,66,1886,616.62,3,1.88,0,1,0,0,1.0492,0
8,0,0,0,23.66,0,1,0,0,34.89,5.43,22,3876,45.53,7,1.97,1,1,1,0,0.3871,0
13,4,0,0,4.27,2,0,0,0,14.2,16.02,49,4794,26.87,6,0.56,1,1,1,0,0.9222,0
12,2,0,0,13.02,9,0,0,0,9.42,6.39,31,2100,63.11,6,1.61,0,1,0,0,0.5567,0
20,2,1,0,14.29,0,0,0,0,28.9,3.26,49,4721,10.0,0,1.19,1,0,0,1,0.8142,0
11,6,0,0,27.12,3,1,0,0,10.4,5.98,24,1510,32.83,3,2.61,1,1,1,0,1.7904,0
0,4,1,0,27.03,1,0,0,0,21.92,2.66,67,4459,10.7,2,0.8,1,1,1,0,1.9343,0
17,5,0,0,62.85,9,0,0,0,30.82,2.87,61,96,49.3,6,2.39,0,0,1,0,1.6311,0
1,5,0,1,6.1,2,1,0,0,30.56,0.38,50,1977,169.47,5,1.96,1,1,1,0,1.2046,0
17,0,0,1,59.91,7,0,0,0,31.24,15.58,22,2316,53.06,1,2.65,1,0,0,1,0.5574,0
12,2,1,0,34.46,1,1,0,0,2.43,13.3,35,1648,48.21,7,2.14,1,0,0,1,0.7333,0
12,2,0,1,55.6,1,0,1,0,109.13,82.48,74,19,56.09,15,4.47,0,0,0,1,3.6206,1
18,1,1,0,134.94,8,1,0,0,4.53,8.04,22,1116,65.53,4,0.78,1,0,1,1,0.7299,0
8,6,1,0,32.68,0,0,0,0,13.53,34.27,31,1659,34.25,3,3.42,1,1,0,0,0.4884,0
11,1,0,1,2.9,5,0,0,0,28.58,0.19,61,3486,25.68,1,4.19,1,0,1,1,0.5737,0
6,1,0,0,5.85,6,0,0,0,5.74,6.2,50,4948,66.94,3,0.26,1,1,1,0,1.3897,0
