id,transaction_ref,predicted_label,confidence,model_used,risk_level,amount,flagged_at,reviewed
177,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
178,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
179,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
180,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
181,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
182,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
183,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
184,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
185,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
186,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
187,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:45:36,0
188,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
189,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
190,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
191,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
192,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
193,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
194,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
195,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
196,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
157,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
158,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
159,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
160,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
161,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
162,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
163,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
164,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
165,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
166,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
167,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:42:46,0
